73,dragon quest viii journey of the cursed king,3ds,square enix,rpg remake,6,0,0,0,1,0,1,1,0,0,1,0
107,fire pro wrestling world,pc ps4,spike chunsoft,fighting,6,0,1,0,0,0,1,1,0,0,0,0
134,guilty gear xrd rev 2,ps4,arc system works,fighting,6,0,0,0,0,2,1,0,0,0,0,0
263,robo recall,pc,epic games,vr shooter,6,0,0,0,0,0,2,2,0,0,0,0
339,the elder scrolls v skyrim vr,pc ps4,bethesda,vr rpg remake,6,0,0,0,0,2,1,0,0,0,0,0
428,the legend of zelda breathe of the wild,PC,Other,Action,6,1,0,0,0,0,1,0,0,0,0,0
527,evil within 2,PC,Other,Action,6,1,0,0,0,0,0,0,0,1,1,0
533,fire emblem echoes shadow of valentia,PC,Other,Action,6,0,0,0,1,0,1,0,0,2,0,0
553,assassins creed origin,PC,Other,Action,6,1,0,0,0,0,1,0,0,0,0,0
650,madden 18,PC,Other,Action,6,0,0,2,0,0,0,0,0,0,0,0
16,atelier sophie the alchemist of the mysterious book,pc,koei tecmo,rpg remake,5,0,1,0,0,1,0,0,0,0,0,0
32,bubsy the woolies strike back,pc ps4,accolade,action,5,1,0,0,0,0,0,0,0,1,0,0
123,getting over it with bennett foddy,pc ios,humble bundle,puzzle,5,0,0,0,1,1,0,0,0,1,0,0
128,graceful explosion machine,pc ps4 nsw,vertex pop,action,5,0,0,0,0,1,1,0,0,1,0,0
136,gundam versus,ps4,bandai namco,action,5,0,1,0,0,0,0,0,1,0,1,0
205,monument valley 2,ios and,ustwo games,puzzle,5,0,0,1,0,1,0,0,0,0,0,0
215,nex machina death machine,pc ps4,housemarque,action,5,0,0,1,0,1,0,0,0,0,0,1
225,opus magnum,pc,zachtronics,puzzle,5,0,0,0,1,0,1,1,0,0,0,0
228,overcooked,nsw,team 17,action,5,0,1,0,0,0,1,0,0,0,0,0
235,picross s,nsw,jupiter,puzzle,5,0,0,0,0,1,0,0,2,0,1,0
271,shadow tactics blades of the shogun,pc ps4 xbo,daedalic entertainment,strategy,5,0,0,0,1,0,0,2,1,0,0,0
286,sonic forces,pc ps4 xbo nsw,sega,action,5,0,0,0,1,1,0,0,1,0,0,0
299,star fox 2,snes,nintendo,shooter,5,0,0,0,0,1,0,0,1,1,1,2
304,starcraft remastered,pc,activision blizzard,strategy remake,5,0,0,1,1,0,0,0,0,0,0,0
315,styx shards of darkness,pc ps4 xbo,focus home interactive,action adventure,5,0,0,1,0,0,0,0,0,1,1,0
333,the binding of issac afterbirth+,pc ps4 nsw,nicalis,action remake,5,1,0,0,0,0,0,1,0,0,0,0
367,undertale,ps4 vita,toby fox,rpg remake,5,0,0,0,1,1,0,0,0,1,0,0
431,super mario odyessy,PC,Other,Action,5,0,0,1,1,0,0,0,0,0,0,0
