Game Number,Title,Platform,Publisher,Genre,Points,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eighth,Ninth,Tenth,Runner Up
144,Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto,PS4 XBO,Bandai Namco,Fighting,0,0,0,0,0,0,0,0,0,0,0,0
145,Outlast 2,PC PS4 XBO,Other,Horror,0,0,0,0,0,0,0,0,0,0,0,0
146,Herald: An Interactive Period Drama,PC,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
147,Dungeons 3,PC PS4 XBO,Other,Strategy,0,0,0,0,0,0,0,0,0,0,0,0
148,ARMS,NSW,Nintendo,Fighting,0,0,0,0,0,0,0,0,0,0,0,0
149,Marvel vs. Capcom: Infinite,PC PS4 XBO,Capcom,Fighting,0,0,0,0,0,0,0,0,0,0,0,0
150,Mary Skelter: Nightmares,VITA,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
151,Cosmic Star Heroine,PC PS4,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
152,Old Man's Journey,PC iOS,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
153,Portal Knights,PC PS4 XBO,Other,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
154,NHL 18,PS4 XBO,EA,Sports,0,0,0,0,0,0,0,0,0,0,0,0
155,The Long Dark,PC PS4 XBO,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
156,Tokuiden 2,PC PS4 VITA,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
157,Warhammer 40000: Dawn of War III,PC,SEGA,Strategy,0,0,0,0,0,0,0,0,0,0,0,0
158,LawBreakers,PC PS4,Other,Shooter,0,0,0,0,0,0,0,0,0,0,0,0
159,Dragon Quest Heroes II,PC PS4,Square-Enix,RPG,0,0,0,0,0,0,0,0,0,0,0,0
160,The LEGO NINJAGO Movie Video Game,PC PS4 XBO NSW,WB,Action,0,0,0,0,0,0,0,0,0,0,0,0
161,Chaos-Child,PS4 VITA,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
162,Secret World Legends,PC,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
163,Master X Master,PC,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
164,Gran Turismo Sport,PS4,Sony,Racing,0,0,0,0,0,0,0,0,0,0,0,0
165,Late Shift,PC PS4 XBO,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
166,The Golf Club 2,PC PS4 XBO,Other,Sports,0,0,0,0,0,0,0,0,0,0,0,0
167,Ever Oasis,3DS,Nintendo,RPG,0,0,0,0,0,0,0,0,0,0,0,0
168,Mighty Gunvolt Burst,NSW 3DS,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
