Title,Platform,Publisher,Genre,Points,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eighth,Ninth,Tenth,Runner Up
gorogoa,ps4 xbo,annapurna,puzzle remake,0,0,0,0,0,0,0,0,0,0,0,0
gran turismo sport,nq,nq,nq,0,0,0,0,0,0,0,0,0,0,0,0
granblue fantasy,nq,nq,nq,0,0,0,0,0,0,0,0,0,0,0,0
grimvalor,mob,direlight,action,0,0,0,0,0,0,0,0,0,0,0,0
gris,pc nsw,devolver digital,adventure,0,0,0,0,0,0,0,0,0,0,0,0
guacamelee 2,pc ps4 xbo nsw,drinkbox studios,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
gun club vr,pc ps4,the binary mill,vr shooter,0,0,0,0,0,0,0,0,0,0,0,0
gundemonium,ps4 vita,platine dispositif,action remake,0,0,0,0,0,0,0,0,0,0,0,0
guns gore and canoli 2,pc,crazy monkey studios,action,0,0,0,0,0,0,0,0,0,0,0,0
gwent the witcher card game,pc ps4 xbo,cd projekt,prcb,0,0,0,0,0,0,0,0,0,0,0,0
hacktheboxeu,pc,pen testing labs,prcb,0,0,0,0,0,0,0,0,0,0,0,0
heaven will be mine,pc,pillow fight games,adventure,0,0,0,0,0,0,0,0,0,0,0,0
hellblade senuas sacrifice,xbo,ninja theory,action adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
higurashi when they cry hou ch6 tsumihoroboshi,pc,mangagamer,adventure,0,0,0,0,0,0,0,0,0,0,0,0
hitman 2,pc ps4 xbo,wb games,action,0,0,0,0,0,0,0,0,0,0,0,0
holedown,mob,webbfarbror,action,0,0,0,0,0,0,0,0,0,0,0,0
hollow knight,ps4 xbo nsw,team cherry,action adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
honkai impact 3,mob,mihoyo limited,action,0,0,0,0,0,0,0,0,0,0,0,0
human fall flat,nq,nq,nq,0,0,0,0,0,0,0,0,0,0,0,0
hyper light drifter,nsw,abylight,action remake,0,0,0,0,0,0,0,0,0,0,0,0
hyrule warriors definitive edition,nsw,nintendo,action remake,0,0,0,0,0,0,0,0,0,0,0,0
ice cream surfer,pc ps4 vita nsw mob,dolores entertainment,action,0,0,0,0,0,0,0,0,0,0,0,0
iconoclasts,pc ps4 vita,bitfrost entertainment,action,0,0,0,0,0,0,0,0,0,0,0,0
ikaruga,nsw,treasure,action remake,0,0,0,0,0,0,0,0,0,0,0,0
inside,nsw,playdead,action adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
insurgency sandstorm,pc ps4 xbo,focus,shooter,0,0,0,0,0,0,0,0,0,0,0,0
into the breach,pc nsw,subset games,strategy,0,0,0,0,0,0,0,0,0,0,0,0
its full of sparks,mob,noodlecake studios inc,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
judge eyes,ps4,sega,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
just cause 4,pc ps4 xbo,square enix,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
just dance 2019,pc ps4 xbo 360 nsw wiiu wii,ubisoft,prcb,0,0,0,0,0,0,0,0,0,0,0,0
just shapes and beats,pc nsw,berzerker games,action,0,0,0,0,0,0,0,0,0,0,0,0
katamari damacy reroll,pc nsw,bandai namco,action remake,0,0,0,0,0,0,0,0,0,0,0,0
kemono friends picross,nsw,jupiter,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
kingdom come deliverance,pc ps4 xbo,warhorse studios,rpg,0,0,0,0,0,0,0,0,0,0,0,0
kingdom rush vengeance,mob,ironhide game studios,strategy,0,0,0,0,0,0,0,0,0,0,0,0
kingdom two crowns,pc xbo nsw,coatsink,strategy,0,0,0,0,0,0,0,0,0,0,0,0
kirby battle royale,3ds,nintendo,fighting,0,0,0,0,0,0,0,0,0,0,0,0
kirby star allies,nsw,nintendo,action,0,0,0,0,0,0,0,0,0,0,0,0
la mulana 2,pc ps4 xbo nsw,agm playism,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
