Title,Platforms,Publisher,Genre,Points,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eighth,Ninth,Tenth,Runner-up
blazblue cross tag battle,pc ps4 nsw,arc system works,fighting,1,0,0,0,0,0,0,1,0,0,0,0
captain toad treasure tracker,nsw 3ds,nintendo,puzzle remake,1,0,0,0,0,0,0,1,0,0,0,0
cosmic star heroine,vita nsw,zeboyd games,rpg remake,1,0,0,0,0,0,0,1,0,0,0,0
cultist simulator,pc,humble bundle,simulation,1,0,0,0,0,0,0,1,0,0,0,0
katamari damacy reroll,pc nsw,bandai namco,action remake,1,0,0,0,0,0,0,1,0,0,0,0
life is strange 2 episode 1,pc ps4 xbo,square enix,adventure,1,0,0,0,0,0,0,1,0,0,0,0
megaman 11,pc ps4 xbo nsw,capcom,action,1,0,0,0,0,0,0,1,0,0,0,0
mlb the show 18,ps4,sony,sports,1,0,0,0,0,0,0,1,0,0,0,0
blasters of the universe,pc,other,action,1,0,0,0,0,0,0,1,0,0,0,0
the world ends with you – final remix –,pc,other,action,1,0,0,0,0,0,0,1,0,0,0,0
warhammer vermintide ii,pc,other,action,1,0,0,0,0,0,0,1,0,0,0,0
wonder blade,pc,other,action,1,0,0,0,0,0,0,1,0,0,0,0
assassins creed oddysey,pc,other,action,1,0,0,0,0,0,0,1,0,0,0,0
the awesome adventures of captain spirit,pc ps4 xbo,square enix,adventure,1,0,0,0,0,0,0,0,1,0,0,0
yakuza 0,pc,sega,action adventure remake,1,0,0,0,0,0,0,0,1,0,0,0
wizard of legend,pc,other,action,1,0,0,0,0,0,0,0,1,0,0,0
mutant year zero road to eden,pc,other,action,1,0,0,0,0,0,0,0,1,0,0,0
brawl stars,pc,other,action,1,0,0,0,0,0,0,0,1,0,0,0
soul calibur 6 –,pc,other,action,1,0,0,0,0,0,0,0,1,0,0,0
pokemon lets go pikachu and lets go eevee,pc,other,action,1,0,0,0,0,0,0,0,1,0,0,0
dragon quest builders,nsw,square enix,action adventure remake,1,0,0,0,0,0,0,0,0,1,0,0
hyrule warriors definitive edition,nsw,nintendo,action remake,1,0,0,0,0,0,0,0,0,1,0,0
mario tennis aces,nsw,nintendo,sports,1,0,0,0,0,0,0,0,0,1,0,0
shin megami tensei liberation dx2,mob,sega,rpg,1,0,0,0,0,0,0,0,0,1,0,0
bayonetta 1,pc,other,action,1,0,0,0,0,0,0,0,0,1,0,0
super robot wars x,pc,other,action,1,0,0,0,0,0,0,0,0,1,0,0
chasm,pc ps4 vita xbo nsw,bit kid,action adventure,1,0,0,0,0,0,0,0,0,0,1,0
ea sports ufc 3,pc ps4 xbo,ea,fighting,1,0,0,0,0,0,0,0,0,0,1,0
the banner saga 3,pc ps4 xbo nsw,versus evil,strategy,1,0,0,0,0,0,0,0,0,0,1,0
the red strings club,pc,devolver digital,adventure,1,0,0,0,0,0,0,0,0,0,1,0
donkey kong tropical freeze,pc,other,action,1,0,0,0,0,0,0,0,0,0,1,0
pizza titan ultra,pc,other,action,1,0,0,0,0,0,0,0,0,0,1,0
thronebreaker the witcher tales,pc,other,action,1,0,0,0,0,0,0,0,0,0,1,0
fist of the north star lost paradise,pc,other,action,1,0,0,0,0,0,0,0,0,0,1,0
valkyria chronicles 4 –,pc,other,action,1,0,0,0,0,0,0,0,0,0,1,0
deltarune,pc,other,action,1,0,0,0,0,0,0,0,0,0,1,0
digimon story cyber sleuth hackers memory,pc,other,action,0,0,0,0,0,0,0,0,0,0,0,1
strange journey redux,pc,other,action,0,0,0,0,0,0,0,0,0,0,0,1
